ID,Days Since Last Comm.,Words of Intimacy,Pos. Emotions,Wall Posts,Messages,Comments,Attachment Strength
temp1,197,38,0.213,37,403,6,-37.477
temp2,568,47,0.874,42,312,9,-372.822
temp3,842,59,0.432,25,223,34,-624.702
temp4,259,90,0.672,17,278,28,-110.272
temp5,921,29,0.987,19,321,21,-677.883
temp6,615,54,0.741,23,150,12,-402.187
temp7,793,82,0.311,31,410,8,-482.646
temp8,189,71,0.827,44,249,20,-48.275
temp9,923,10,0.645,22,396,15,-692.509
temp10,504,67,0.258,37,208,39,-273.709
temp11,508,21,0.561,22,157,34,-368.9
temp12,946,27,0.438,36,181,28,-731.09
temp13,945,22,0.84,44,190,9,-731.93
temp14,455,59,0.59,34,222,8,-300.572
temp15,913,19,0.645,47,417,35,-636.409
temp16,812,60,0.581,38,413,15,-549.235
temp17,662,59,0.401,16,349,37,-439.31
temp18,820,86,0.977,50,393,32,-547.006
temp19,763,51,0.635,41,299,29,-536.011
temp20,931,19,0.966,21,323,44,-681.598
temp21,459,37,0.378,43,170,27,-316.005
temp22,211,52,0.911,49,230,20,-85.392
temp23,514,36,0.455,43,249,7,-347.056
temp24,404,34,0.46,27,347,27,-226.515
temp25,540,31,0.763,47,260,40,-357.369
temp26,886,51,0.795,42,344,27,-628.641
temp27,923,87,0.965,36,411,26,-634.849
temp28,691,91,0.955,25,331,20,-462.841
temp29,659,71,0.936,21,350,43,-430.386
temp30,378,89,0.704,23,152,30,-243.524
temp31,162,95,0.516,20,218,9,-47.131
temp32,462,75,0.311,17,239,29,-296.922
temp33,513,84,0.506,37,214,22,-341.214
temp34,334,77,0.449,39,285,13,-173.548
temp35,786,49,0.683,28,313,41,-552.539
temp36,283,33,0.641,28,370,9,-122.25
temp37,534,90,0.287,18,250,27,-351.678
temp38,272,54,0.579,30,319,21,-117.655
temp39,428,19,0.862,32,342,6,-256.235
temp40,930,79,0.72,50,257,18,-682.82
temp41,685,15,0.248,15,339,11,-479.888
temp42,489,75,0.267,26,392,26,-276.953
temp43,326,34,0.332,48,239,39,-180.497
temp44,200,59,0.852,44,288,14,-61.617
temp45,856,63,0.981,35,354,14,-602.795
temp46,543,83,0.525,34,305,45,-336.989
temp47,650,92,0.981,32,204,19,-460.405
temp48,380,83,0.875,19,352,19,-196.731
temp49,194,49,0.325,29,245,15,-74.539
temp50,319,41,0.79,23,228,30,-184.832
